,Country,Title,Rural,Quantity,Percentage
0,Austria,Automatic Data Processing Planner,rural,1,0.28 %
1,Austria,Automatic Data Processing Planner,urban,1,0.28 %
2,Austria,Computer or Data Processing Systems Consultant,rural,1,0.28 %
3,Austria,Computer or Data Processing Systems Consultant,urban,2,0.56 %
4,Austria,Data Processing Systems Project Planner,urban,1,0.28 %
5,Belgium,Automatic Data Processing Planner,rural,1,0.28 %
6,Belgium,Automatic Data Processing Planner,urban,1,0.28 %
7,Belgium,Data Processing Consultant,rural,1,0.28 %
8,Belgium,Data Processing Systems Analyst,urban,2,0.56 %
9,Belgium,Data Processing Systems Project Planner,urban,2,0.56 %
10,Bulgaria,Automatic Data Processing Planner,urban,1,0.28 %
11,Bulgaria,Computer or Data Processing Systems Consultant,urban,1,0.28 %
12,Bulgaria,Data Processing Systems Analyst,urban,2,0.56 %
13,Croatia,Computer or Data Processing Systems Consultant,urban,2,0.56 %
14,Croatia,Data Processing Systems Project Planner,urban,1,0.28 %
15,Czechia,Automatic Data Processing Planner,urban,2,0.56 %
16,Czechia,Computer or Data Processing Systems Consultant,rural,1,0.28 %
17,Czechia,Computer or Data Processing Systems Consultant,urban,2,0.56 %
18,Czechia,Data Processing Systems Analyst,rural,1,0.28 %
19,Czechia,Data Processing Systems Analyst,urban,2,0.56 %
20,Czechia,Data Processing Systems Project Planner,rural,2,0.56 %
21,Denmark,Automatic Data Processing Planner,rural,1,0.28 %
22,Denmark,Automatic Data Processing Planner,urban,1,0.28 %
23,Denmark,Data Processing Consultant,urban,2,0.56 %
24,Finland,Computer or Data Processing Systems Consultant,rural,1,0.28 %
25,Finland,Computer or Data Processing Systems Consultant,urban,1,0.28 %
26,Finland,Data Processing Consultant,urban,1,0.28 %
27,Finland,Data Processing Systems Analyst,rural,1,0.28 %
28,France,Automatic Data Processing Planner,rural,5,1.39 %
29,France,Automatic Data Processing Planner,urban,8,2.22 %
30,France,Computer or Data Processing Systems Consultant,rural,6,1.67 %
31,France,Computer or Data Processing Systems Consultant,urban,8,2.22 %
32,France,Data Processing Consultant,urban,5,1.39 %
33,France,Data Processing Systems Analyst,rural,4,1.11 %
34,France,Data Processing Systems Analyst,urban,6,1.67 %
35,France,Data Processing Systems Project Planner,rural,2,0.56 %
36,France,Data Processing Systems Project Planner,urban,5,1.39 %
